"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","dv_selection_rec"
"0VyujG1WhC50",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,33,"2: female",NA,"not-Ysym"
"4TZ68j72hdli",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,44,"2: female",NA,"not-Ysym"
"7f2BJpZBMUYu",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,33,"2: female",NA,"not-Ysym"
"BNcTs3yFrVZ5",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,39,"1: male",NA,"not-Ysym"
"Exu5YDK6Gtp3",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",1,42,"1: male",NA,"None"
"F0En0pOIH6Dc",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,32,"1: male",NA,"not-Ysym"
"FiFv1XYzeh6X",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,51,"2: female",NA,"not-Ysym"
"G7T8eZ7JU18T",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,34,"1: male",NA,"not-Ysym"
"HJoo8Zh1QfxC",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,57,"2: female",NA,"not-Ysym"
"HTlm7FBD9PNn",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,44,"2: female",NA,"not-Ysym"
"Ie9z1RRREjZc",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,32,"2: female",NA,"not-Ysym"
"IjpPbsYrUXY0",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",0,40,"2: female",NA,"Ysym"
"JavcUbYSWNvW",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,67,"1: male","none","not-Ysym"
"OKDMM8XL7oQP",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,23,"2: female",NA,"not-Ysym"
"Qrhaij6amORH",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,31,"1: male",NA,"not-Ysym"
"R7hYOPqLxaQr",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,31,"1: male",NA,"not-Ysym"
"V8PLrSiEN5xI",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,30,"2: female",NA,"not-Ysym"
"Z2BpikX2jmfp",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,43,"1: male","No errors.","not-Ysym"
"Z7FWPE8ChOOm",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,26,"2: female",NA,"not-Ysym"
"atBe7T4apBOc",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,40,"1: male",NA,"not-Ysym"
"fPmF65ISlM2Y",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,52,"2: female","none","not-Ysym"
"fjIvrVi2KESW",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,62,"2: female",NA,"not-Ysym"
"hZdJzDzrTRCH",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,21,"1: male",NA,"not-Ysym"
"jCNdjz4rmmNJ",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,46,"2: female",NA,"not-Ysym"
"jFafYHibOAH0",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,28,"1: male","No errors apart form 'rather the right/left object' seems like an overly difficult way to phrase something.","not-Ysym"
"kHU7FZNEYS1u",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,24,"2: female","nope","not-Ysym"
"rB1s6Knvoiq1",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,38,"1: male",NA,"not-Ysym"
"so1RWsL2eH1e",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,38,"1: male",NA,"not-Ysym"
"voOdIuABvIT5",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,65,"2: female",NA,"not-Ysym"
"x8ucw4RBNT2m",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",1,39,"1: male",NA,"None"
"3a1roLFcp5XE",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,24,"2: female",NA,"not-Ysym"
"BCWWpxUJPfl6",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,67,"2: female",NA,"not-Ysym"
"CSkL7MnbhaxC",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",0,39,"1: male","No issues","Ysym"
"D5f6piJD9NcE",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,57,"2: female",NA,"not-Ysym"
"DHtTK485HLnN",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",0,32,"2: female",NA,"Ysym"
"E25aeixO3EGD",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,29,"1: male","N/A","not-Ysym"
"E6bxWH9NsDc4",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,32,"1: male",NA,"not-Ysym"
"F3ETRcgpRIaI",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,26,"2: female",NA,"not-Ysym"
"IMkCzOOj6rHI",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,40,"1: male",NA,"not-Ysym"
"LXekpDEAFWmS",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,26,"1: male",NA,"not-Ysym"
"O2Il54G6nIaa",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,25,"2: female",NA,"not-Ysym"
"TK1Rnr8GYWbD",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,23,"1: male","No issues :).","not-Ysym"
"Twv1uaUYWCOk",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,40,"2: female",NA,"not-Ysym"
"UASx8A5rWQPY",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,70,"1: male",NA,"not-Ysym"
"VDxRbYn3eiEw",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",0,22,"1: male",NA,"Ysym"
"VM62Ue2whopl",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,42,"2: female",NA,"not-Ysym"
"VXi2ws7OZERR",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,69,"1: male",NA,"not-Ysym"
"Xh2QpiFa3zo8",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,44,"2: female","I felt that that the description ""small rectangles on it"" was not clear whether there were physica; rectangular shapes attached to the grey wall or if it was merely shapes or impressions. I assumed that it was shapes or impressions.","not-Ysym"
"bB7cMJBBmGJC",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,30,"1: male","None","not-Ysym"
"gQlbjszMKObJ",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",1,55,"2: female",NA,"None"
"hEwYCSoMADjy",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,25,"1: male",NA,"not-Ysym"
"hGFueR4Z6QSc",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,24,"1: male",NA,"not-Ysym"
"hcpND3Xzvo2d",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,48,"2: female","All good","not-Ysym"
"jC47xbzVE8Wg",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,51,"1: male","no issues/errors","not-Ysym"
"lpR0KesRQxes",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",0,47,"1: male",NA,"Ysym"
"qVV1KUMuffvs",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",0,49,"2: female",NA,"Ysym"
"sKyJOkoPiuGK",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",1,70,"2: female",NA,"None"
"taRrXPyORmep",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",1,41,"1: male",NA,"None"
"wYVmouVLmGaj",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,62,"2: female",NA,"not-Ysym"
"znWttQaNwrdg",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,36,"3: non-binary",NA,"not-Ysym"
"0PZ38pU5uLNp",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",1,55,"2: female",NA,"None"
"1mshoeq76tNV",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,70,"1: male","no problems","not-Ysym"
"96ANLi8NXGuR",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,28,"1: male",NA,"not-Ysym"
"AS6oqpyRIIUv",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,37,"2: female","n/a","not-Ysym"
"BDNSXG1iwg0U",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,45,"1: male",NA,"not-Ysym"
"BeJgkLyx0xCM",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,34,"2: female","none","not-Ysym"
