"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","dv_selection_rec"
"1uq2BIqBqYkl",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,37,"1: male",NA,"not-Ysym"
"2su2f0XJdcLm",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,51,"2: female","none","Ysym"
"7C1m1efMbt4z",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,40,"1: male",NA,"not-Ysym"
"9OjzHbLmNldg",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,31,"2: female",NA,"not-Ysym"
"9tIcWfWcY0DK",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,27,"2: female",NA,"not-Ysym"
"Dh5LNAVlkFrr",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,33,"2: female",NA,"not-Ysym"
"DygwxIDHlJaS",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,31,"1: male",NA,"not-Ysym"
"ERiYdTrfL3We",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,29,"1: male",NA,"not-Ysym"
"K3SNdYZlZVL4",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,38,"1: male",NA,"Ysym"
"KowHWvjyR47Q",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,20,"2: female",NA,"not-Ysym"
"L5XpAB7uruFN",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,44,"1: male",NA,"Ysym"
"PNg7tlmXdgEp",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,46,"1: male",NA,"not-Ysym"
"QHj7JGDJCDEd",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,20,"2: female",NA,"not-Ysym"
"VU3UkkxnQ3HQ",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,31,"2: female",NA,"not-Ysym"
"VsDSBobqDA4U",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,24,"1: male",NA,"not-Ysym"
"WG8IQMI1eFiy",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,25,"1: male",NA,"not-Ysym"
"XMcMdUAmBagz",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,52,"2: female",NA,"not-Ysym"
"XtA1zVbhAtyO",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,38,"1: male",NA,"not-Ysym"
"ZoByICTnPgLk",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,28,"2: female","none","None"
"g7DL2iMR6AcR",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,42,"2: female","none","not-Ysym"
"h5XaZT4o4ZJJ",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,35,"1: male",NA,"not-Ysym"
"hIw96jM82foZ",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,63,"2: female",NA,"not-Ysym"
"k8uxFmrSIdC6",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,24,"1: male",NA,"not-Ysym"
"mctMTYRv8ibh",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,38,"2: female",NA,"not-Ysym"
"mdHjU5eJkVhx",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,33,"1: male",NA,"Ysym"
"nbWMTKN6AFrP",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,48,"2: female",NA,"not-Ysym"
"olJ5iOhK9RIM",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,36,"1: male",NA,"not-Ysym"
"qHCvaHfQNrNq",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,27,"1: male",NA,"not-Ysym"
"rTZWSCrFUF2N",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,30,"1: male",NA,"not-Ysym"
"v6QlmFb5SjpW",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,25,"2: female",NA,"not-Ysym"
"5oQyyY8XKZJy",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,57,"1: male",NA,"not-Ysym"
"AN53wwyU6Wny",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,26,"2: female","None","not-Ysym"
"B7b8ZuEdnn1r",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,40,"1: male",NA,"not-Ysym"
"EWJzPVRBT11m",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,22,"1: male",NA,"not-Ysym"
"FB1exVnnaB7p",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,55,"2: female","No error noticed.","not-Ysym"
"I43KnbyItSaX",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,31,"2: female","N/A","not-Ysym"
"KH2vg2Xa2btu",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,62,"1: male",NA,"Ysym"
"LRnj37icMiRV",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,62,"1: male",NA,"not-Ysym"
"MaGSNsEPzmGI",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,60,"2: female",NA,"not-Ysym"
"RSD9MUHrOi68",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,42,"1: male",NA,"not-Ysym"
"TD6Wh9WnEUHN",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,61,"1: male",NA,"not-Ysym"
"YVaWLooOdMFP",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,57,"2: female",NA,"not-Ysym"
"c5rnQcnXYMYZ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,28,"1: male","no errors","not-Ysym"
"iN60z0YYFGgi",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,28,"2: female",NA,"not-Ysym"
"jCObXTSk6Wka",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,34,"1: male","All seemed fine","not-Ysym"
"kYkVELz9v0PW",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,39,"2: female",NA,"not-Ysym"
"kniLQLqOH46J",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,37,"1: male","no issues","not-Ysym"
"l0QxksZkbNwO",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,53,"1: male","None","None"
"l48Skh863dIV",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,22,"2: female",NA,"not-Ysym"
"o3fZR7qHSgj3",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,50,"1: male","none","not-Ysym"
"pFV6lI2sshk6",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,30,"1: male",NA,"not-Ysym"
"s0JXVQfTalXW",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,40,"1: male",NA,"not-Ysym"
"sYLdSVcIW0Q1",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,23,"1: male",NA,"not-Ysym"
"xPDF5l80U6J0",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,45,"2: female",NA,"not-Ysym"
"xfc1OWWFdh29",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,30,"1: male","No errors","not-Ysym"
"xwA5FHNtVeGO",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,45,"2: female",NA,"not-Ysym"
"yOxZG0AMuFyX",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,27,"1: male",NA,"Ysym"
"ygU3MXHBiQLQ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,31,"1: male",NA,"not-Ysym"
"z64GRSJWOJUg",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,56,"2: female","I didn't come across any areas.","not-Ysym"
"zxcTeFzsjbAe",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,48,"2: female",NA,"not-Ysym"
"1raJ0YZeC7HE",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,37,"2: female",NA,"not-Ysym"
"2ktjyIqnTruB",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,40,"1: male",NA,"not-Ysym"
"5NcgHTlnYdI1",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,38,"1: male","N/A","not-Ysym"
"6vXSMmWKpLeM",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,53,"2: female","no","not-Ysym"
"7vZstEWUsmQu",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,40,"2: female","no errors or problems.","not-Ysym"
"ABGBBw6fwHVY",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,58,"1: male","ALL GOOD","not-Ysym"
"BP9u5funjwNR",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,25,"1: male","None","not-Ysym"
"DfkyAKpjVQWp",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,51,"2: female",NA,"not-Ysym"
"F0RsmPlFeZ4K",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,31,"1: male",NA,"not-Ysym"
"GLhJNPaQ7NJc",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,33,"1: male",NA,"not-Ysym"
"NoCxBozvKjxH",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,54,"2: female",NA,"not-Ysym"
"ONZYvomNFhyq",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,36,"2: female",NA,"None"
"XDiOHuDxNXZ8",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",0,25,"2: female",NA,"Ysym"
"ccr5dswSCKIu",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,26,"1: male","the astronauts took forever to load, but not a big deal","not-Ysym"
"dkgTS164kJW2",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",0,51,"2: female","no","Ysym"
