sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
4838	2D	180_rot	right	selection	1	1	19	2	80
3990	2D	90_rot	left	selection	1	1	32	1	92
3995	2D	90_rot	left	selection	2	1	19	3	74
4019	2D	90_rot	left	selection	2	1	54	2	98
4022	2D	90_rot	left	selection	2	1	37	2	64
4039	2D	90_rot	left	selection	2	1	23	2	130
4053	2D	90_rot	left	selection	2	1	38	1	102
4071	2D	90_rot	left	selection	2	1	38	2	106
4078	2D	90_rot	left	selection	2	1	26	2	88
4103	2D	90_rot	left	selection	2	1	33	2	81
4114	2D	90_rot	left	selection	1	1	49	1	95
4122	2D	90_rot	left	selection	2	1	25	1	59
4141	2D	90_rot	left	selection	2	1	31	2	113
4158	2D	90_rot	left	selection	2	1	21	2	132
4169	2D	90_rot	left	selection	1	1	29	2	163
4186	2D	90_rot	left	selection	2	1	24	2	87
4194	2D	90_rot	left	selection	2	1	52	2	146
4206	2D	90_rot	left	selection	2	1	47	2	125
4231	2D	90_rot	left	selection	1	1	45	1	206
4242	2D	90_rot	left	selection	2	1	35	1	71
4248	2D	90_rot	left	selection	2	1	21	1	106
4277	2D	90_rot	left	selection	1	1	28	1	130
4284	2D	90_rot	left	selection	2	1	46	1	221
4292	2D	90_rot	left	selection	2	1	35	2	127
4312	2D	90_rot	left	selection	1	1	21	1	108
4329	2D	90_rot	left	selection	1	1	21	1	91
4340	2D	90_rot	left	selection	2	1	21	1	195
4349	2D	90_rot	left	selection	2	1	36	2	164
4370	2D	90_rot	left	selection	2	1	36	2	77
4390	2D	90_rot	left	selection	2	1	37	1	152
4394	2D	90_rot	left	selection	1	1	29	1	179
4418	2D	90_rot	left	selection	2	1	41	1	103
4424	2D	90_rot	left	selection	2	1	23	2	209
4431	2D	90_rot	left	selection	1	1	47	1	101
4447	2D	90_rot	left	selection	2	1	37	2	81
4467	2D	90_rot	left	selection	2	1	25	2	91
4489	2D	90_rot	left	selection	2	1	22	2	107
4503	2D	90_rot	left	selection	2	1	35	1	62
4512	2D	90_rot	left	selection	2	1	22	2	195
4524	2D	90_rot	left	selection	2	1	31	2	107
4545	2D	90_rot	left	selection	2	1	47	2	120
4561	2D	90_rot	left	selection	2	1	35	2	125
4566	2D	90_rot	left	selection	1	1	24	2	248
4588	2D	90_rot	left	selection	2	1	37	2	85
4596	2D	90_rot	left	selection	2	1	20	1	66
4620	2D	90_rot	left	selection	2	1	50	2	178
4625	2D	90_rot	left	selection	2	1	59	2	123
4641	2D	90_rot	left	selection	2	1	24	1	129
4649	2D	90_rot	left	selection	1	1	22	2	88
4664	2D	90_rot	left	selection	2	1	28	2	333
4669	2D	90_rot	left	selection	2	1	55	2	119
4685	2D	90_rot	left	selection	2	1	41	1	118
4707	2D	90_rot	left	selection	2	1	24	2	83
4725	2D	90_rot	left	selection	1	1	46	1	79
4745	2D	90_rot	left	selection	1	1	38	2	103
4755	2D	90_rot	left	selection	1	1	30	1	104
4774	2D	90_rot	left	selection	2	1	27	1	142
4777	2D	90_rot	left	selection	2	1	33	2	112
4790	2D	90_rot	left	selection	2	1	29	1	214
4805	2D	90_rot	left	selection	2	1	60	2	126
4808	2D	90_rot	left	selection	2	1	25	2	170
4819	2D	90_rot	left	selection	1	1	21	1	130
3986	2D	90_rot	right	selection	1	1	50	1	112
3993	2D	90_rot	right	selection	1	1	32	2	125
4002	2D	90_rot	right	selection	1	1	63	2	279
4028	2D	90_rot	right	selection	2	1	52	2	188
4043	2D	90_rot	right	selection	2	1	18	2	113
4052	2D	90_rot	right	selection	1	1	28	1	78
4066	2D	90_rot	right	selection	2	1	42	2	107
4083	2D	90_rot	right	selection	1	1	53	2	76
4100	2D	90_rot	right	selection	1	1	49	1	86
4120	2D	90_rot	right	selection	1	1	27	1	67
4127	2D	90_rot	right	selection	1	1	35	1	116
4146	2D	90_rot	right	selection	2	1	24	3	62
4157	2D	90_rot	right	selection	1	1	24	2	158
4171	2D	90_rot	right	selection	2	1	42	2	118
4189	2D	90_rot	right	selection	1	1	18	2	83
