sID	Condition	Side_initial	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Tech_errors	Duration (sek)
546	28	right	X_transl	right	selection	1	1	62	2	-99	104
599	28	right	X_transl	right	selection	2	1	31	1	-99	99
624	28	right	X_transl	right	selection	1	1	25	2	-99	106
638	28	right	X_transl	right	selection	1	1	57	2	-99	77
659	28	right	X_transl	right	selection	1	1	32	2	None	357
686	28	right	X_transl	right	selection	1	1	38	1	-99	181
729	28	right	X_transl	right	selection	1	1	35	2	-99	131
745	28	right	X_transl	right	selection	2	1	54	2	-99	120
788	28	right	X_transl	right	selection	1	1	54	1	-99	192
812	28	right	X_transl	right	selection	2	1	20	2	-99	89
847	28	right	X_transl	right	selection	1	1	22	3	-99	38
871	28	right	X_transl	right	selection	1	1	33	2	None	118
900	28	right	X_transl	right	selection	2	1	40	1	-99	107
